Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
192565,0.16,-0.51,0.87,-172.06,13.49,0.73
192669,0.13,-0.50,0.92,148.68,-19.65,12.57
192774,0.13,-0.06,0.96,59.57,-11.17,-14.04
192879,0.17,-0.12,0.93,-43.46,1.46,2.87
192984,0.11,-0.37,0.97,-56.52,6.16,44.62
193091,0.13,-0.35,0.97,43.64,-6.10,-28.87
193196,0.17,-0.01,1.01,186.34,-15.08,-1.77
193301,0.14,0.27,0.93,91.55,0.92,-1.53
193408,0.13,-0.04,1.03,-266.05,32.23,-21.36
193512,0.12,-0.51,0.92,-122.38,9.64,1.83
193616,0.11,-0.38,1.00,216.19,-24.35,10.38
193721,0.15,-0.11,0.97,28.02,-3.97,-1.10
193826,0.13,-0.12,0.98,-53.22,1.77,-4.76
193930,0.13,-0.15,0.99,-22.64,2.20,-1.04
194035,0.13,-0.26,0.98,12.21,-0.18,3.54
194142,0.11,-0.36,0.95,-10.13,1.04,-1.28
194247,0.13,-0.32,0.94,34.67,-6.96,2.44
194351,0.13,-0.21,1.01,104.37,-10.74,8.00
194455,0.13,-0.11,0.98,36.68,-6.71,-0.18
194559,0.14,-0.15,0.98,-93.44,6.59,-16.24
194664,0.14,-0.27,0.99,-16.97,1.46,1.83
194769,0.14,-0.26,0.99,29.11,-3.05,2.26
194874,0.15,-0.11,0.99,23.74,-2.20,-1.28
194981,0.14,-0.20,0.97,-90.94,6.04,-5.98
195086,0.14,-0.35,0.95,-22.40,-0.37,0.06
195193,0.15,-0.33,0.95,44.49,-4.64,3.05
195299,0.15,-0.10,0.95,62.68,-7.75,1.46
195404,0.18,-0.29,0.99,-155.82,3.54,-2.75
195509,0.16,-0.38,0.95,33.75,-3.17,3.97
195614,0.16,-0.28,0.98,101.32,-9.16,6.53
195718,0.16,-0.18,0.97,-16.85,0.00,-10.74
195823,0.16,-0.24,0.96,-93.93,9.09,-6.10
195928,0.16,-0.33,0.96,-4.33,0.98,1.46
196035,0.16,-0.28,0.99,81.48,-7.75,7.75
196141,0.16,-0.14,0.99,32.47,-4.09,-2.56
196246,0.18,-0.16,0.98,2.62,-2.08,0.43
196351,0.17,-0.22,0.94,-72.57,6.53,-1.46
196456,0.16,-0.31,0.95,28.50,-3.23,3.36
196561,0.16,-0.19,0.99,83.56,-7.63,3.11
196666,0.17,-0.11,0.99,-0.55,0.24,-4.33
196770,0.17,-0.19,0.97,-90.94,6.59,-5.13
